epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.231,1.10489,2.54928,1.71283,0.00331,1,0.50222,0.19203,1.3467,3.75535,2.08489,0.00031673,0.00031673,0.00031673
2,416.665,0.92927,1.75019,1.5912,0.45476,0.6164,0.51672,0.25093,1.36285,2.99108,2.5072,0.00063714,0.00063714,0.00063714
3,595.228,0.90162,1.56441,1.55205,0.37284,0.45544,0.5167,0.2602,1.35471,2.85426,2.42155,0.000944228,0.000944228,0.000944228
4,760.025,0.90336,1.46317,1.54995,0.08333,0.14879,0.02141,0.00712,3.37352,4.73153,4.68118,0.00123799,0.00123799,0.00123799
5,917.277,0.89498,1.40087,1.53925,0.4665,0.36893,0.41383,0.13321,2.39607,3.57978,3.25309,0.00151844,0.00151844,0.00151844
6,1073.73,0.86246,1.29233,1.49912,0.43497,0.54278,0.46013,0.15998,2.27324,3.37624,3.70757,0.00150047,0.00150047,0.00150047
7,1230.6,0.85251,1.19783,1.50062,0.33083,0.3821,0.23352,0.07437,2.63175,3.22926,3.18012,0.00146716,0.00146716,0.00146716
8,1386.86,0.84517,1.19007,1.50173,0.78847,0.45192,0.45724,0.26856,1.2566,2.41803,1.8381,0.00143385,0.00143385,0.00143385
9,1542.9,0.78488,1.08568,1.42094,0.59604,0.70192,0.62751,0.4001,0.99752,1.93351,1.81514,0.00140055,0.00140055,0.00140055
10,1699.12,0.87043,1.06226,1.51483,0.53819,0.60982,0.50602,0.23435,1.87336,2.80829,2.80558,0.00136724,0.00136724,0.00136724
11,1855.29,0.80288,0.97824,1.44253,0.73539,0.82895,0.79582,0.59411,0.82649,1.37927,1.62079,0.00133393,0.00133393,0.00133393
12,2011.46,0.79911,0.95083,1.44292,0.83048,0.92508,0.91115,0.7202,0.7014,1.1815,1.32304,0.00130063,0.00130063,0.00130063
13,2167.86,0.76885,0.94462,1.40403,0.81952,0.90182,0.93093,0.7066,0.81577,1.14383,1.51857,0.00126732,0.00126732,0.00126732
14,2323.79,0.752,0.89977,1.40953,0.75283,0.92804,0.91984,0.74641,0.71027,1.09461,1.45585,0.00123401,0.00123401,0.00123401
15,2480.17,0.77827,0.87861,1.41114,0.77034,0.88838,0.92674,0.74462,0.62252,1.11119,1.30444,0.00120071,0.00120071,0.00120071
16,2636.02,0.74576,0.84592,1.38162,0.86351,0.90872,0.93039,0.71825,0.69745,1.0137,1.42909,0.0011674,0.0011674,0.0011674
17,2792.18,0.70178,0.81122,1.35442,0.89634,0.95695,0.96273,0.78841,0.65183,0.87891,1.25553,0.00113409,0.00113409,0.00113409
18,2949.15,0.74016,0.80734,1.3808,0.85537,0.84777,0.93286,0.66144,0.82327,1.17268,1.51638,0.00110079,0.00110079,0.00110079
19,3106.18,0.70725,0.78176,1.35911,0.9311,0.86722,0.9675,0.72483,0.74353,0.84493,1.5633,0.00106748,0.00106748,0.00106748
20,3261.79,0.70385,0.74679,1.34668,0.79334,0.96053,0.98743,0.80851,0.60796,0.89802,1.3151,0.00103417,0.00103417,0.00103417
21,3418.06,0.66662,0.75229,1.33223,0.89937,0.87905,0.96449,0.73332,0.72614,0.75976,1.66165,0.00100087,0.00100087,0.00100087
22,3574.15,0.64565,0.72115,1.3074,0.8938,0.92902,0.97742,0.81899,0.59717,0.8274,1.19041,0.00096756,0.00096756,0.00096756
23,3730.05,0.65689,0.70111,1.30274,0.96004,0.958,0.9805,0.81895,0.64017,0.74909,1.24469,0.000934253,0.000934253,0.000934253
24,3886.89,0.66991,0.68524,1.32635,0.83992,0.92266,0.95892,0.71391,0.84696,1.02335,1.45943,0.000900947,0.000900947,0.000900947
25,4044.04,0.65959,0.68807,1.30779,0.9331,0.96134,0.98354,0.79755,0.72049,0.75044,1.32371,0.00086764,0.00086764,0.00086764
26,4199.82,0.62604,0.6558,1.29405,0.90265,0.9369,0.97536,0.79989,0.68203,0.7332,1.28633,0.000834333,0.000834333,0.000834333
27,4355.43,0.60271,0.63809,1.25532,0.91527,0.91125,0.97088,0.74139,0.88294,0.74954,1.59534,0.000801027,0.000801027,0.000801027
28,4511.77,0.64151,0.62009,1.28918,0.92918,0.93872,0.96566,0.81299,0.62265,0.64616,1.21646,0.00076772,0.00076772,0.00076772
29,4667.88,0.60285,0.59536,1.27375,0.89596,0.9049,0.97086,0.76305,0.74319,0.69125,1.36403,0.000734414,0.000734414,0.000734414
30,4824.67,0.61304,0.63215,1.27743,0.8367,0.95283,0.98439,0.81587,0.61877,0.71951,1.16189,0.000701107,0.000701107,0.000701107
31,4980.64,0.63349,0.65381,1.29189,0.87608,0.92975,0.96349,0.80627,0.65655,0.69061,1.20607,0.0006678,0.0006678,0.0006678
32,5136.73,0.58162,0.64168,1.24998,0.93484,0.9516,0.96252,0.79868,0.61431,0.62368,1.15493,0.000634494,0.000634494,0.000634494
